Gene stable ID,Transcript stable ID,Gene name
ENSG00000281915,ENST00000628803,MUC20-OT1
ENSG00000281915,ENST00000630566,MUC20-OT1
ENSG00000281915,ENST00000626184,MUC20-OT1
ENSG00000281915,ENST00000626284,MUC20-OT1
ENSG00000281915,ENST00000625220,MUC20-OT1
ENSG00000281915,ENST00000625607,MUC20-OT1
ENSG00000281915,ENST00000626544,MUC20-OT1
ENSG00000281915,ENST00000626987,MUC20-OT1
ENSG00000281915,ENST00000631066,MUC20-OT1
ENSG00000281915,ENST00000626765,MUC20-OT1
ENSG00000281915,ENST00000630563,MUC20-OT1
ENSG00000281915,ENST00000630953,MUC20-OT1
ENSG00000281915,ENST00000625574,MUC20-OT1
ENSG00000281915,ENST00000630192,MUC20-OT1
ENSG00000281915,ENST00000627190,MUC20-OT1
ENSG00000281915,ENST00000630329,MUC20-OT1
ENSG00000281915,ENST00000625704,MUC20-OT1
ENSG00000281915,ENST00000629764,MUC20-OT1
ENSG00000281915,ENST00000625750,MUC20-OT1
ENSG00000281915,ENST00000627277,MUC20-OT1
ENSG00000281915,ENST00000630163,MUC20-OT1
ENSG00000281915,ENST00000629739,MUC20-OT1
ENSG00000281915,ENST00000626209,MUC20-OT1
ENSG00000281915,ENST00000630927,MUC20-OT1
ENSG00000281915,ENST00000631151,MUC20-OT1
ENSG00000281915,ENST00000630318,MUC20-OT1
ENSG00000281915,ENST00000625738,MUC20-OT1
ENSG00000281915,ENST00000628218,MUC20-OT1
ENSG00000281915,ENST00000629625,MUC20-OT1
ENSG00000281915,ENST00000625510,MUC20-OT1
ENSG00000281915,ENST00000627706,MUC20-OT1
ENSG00000281915,ENST00000630015,MUC20-OT1
ENSG00000281915,ENST00000631310,MUC20-OT1
ENSG00000281915,ENST00000630437,MUC20-OT1
ENSG00000281915,ENST00000630175,MUC20-OT1
ENSG00000281915,ENST00000629931,MUC20-OT1
ENSG00000281915,ENST00000626137,MUC20-OT1
ENSG00000281915,ENST00000629697,MUC20-OT1
ENSG00000281915,ENST00000629487,MUC20-OT1
ENSG00000281915,ENST00000627486,MUC20-OT1
